record_number,product_id,title,listing_url
7456,12025905,80 Rooms Available | MOHRE Approve | 6 - 8 Capacity,https://www.bayut.com/property/details-15422479.html
18768,12908193,Fitted Office | Parquet Flooring | 4 Offices,https://www.bayut.com/property/details-16406389.html
23583,12805753,Insulated Warehouse | 14 KW Power | Prime Location,https://www.bayut.com/property/details-16288575.html
